CNES - Recursos Físicos - Hospitalar - Leitos de internação - Brasil
Quantidade existente por Ano/mês compet. e Especialidade
Período:Out/2005-Abr/2025
"Ano/mês compet.";"Cirúrgicos";"Clínicos";"Obstétrico";"Pediátrico";"Outras Especialidades";"Hospital/DIA";"Total"
"2012/Dez";118686;149506;58323;59402;60430;9306;455653
"2013/Jan";118644;149482;58268;59213;60406;9273;455286
"2013/Fev";118683;149329;58230;59049;60309;9306;454906
"2013/Mar";118827;149226;58124;58838;60080;9276;454371
"2013/Abr";118488;149558;58048;58725;59823;9241;453883
"2013/Mai";118469;150318;57802;58455;59936;9315;454295
"2013/Jun";118266;150354;57512;58085;59776;9483;453476
"2013/Jul";117795;150380;57368;57988;59141;9460;452132
"2013/Ago";117827;151065;57286;57681;59285;9420;452564
"2013/Set";117794;151215;57328;57364;59255;9498;452454
"2013/Out";117458;151624;56915;57040;59039;9323;451399
"2013/Nov";117558;152054;57051;56912;59071;9384;452030
"2013/Dez";117712;151820;57047;56917;59137;9427;452060
"2014/Jan";117745;152624;57158;56824;59432;9388;453171
"2014/Fev";117686;152695;57095;56741;59578;9432;453227
"2014/Mar";117706;152773;56992;56716;61167;9436;454790
"2014/Abr";117859;152755;57030;56600;59308;9457;453009
"2014/Mai";117982;153113;56991;56441;59113;9541;453181
"2014/Jun";117895;153217;56998;56298;59077;9576;453061
"2014/Jul";117829;153849;56855;56419;59063;9594;453609
"2014/Ago";118095;154123;56634;56164;58739;9666;453421
"2014/Set";117742;154057;56688;56143;57988;9691;452309
"2014/Out";117909;154237;56744;56035;57993;9751;452669
"2014/Nov";117842;154219;56543;55911;57977;9886;452378
"2014/Dez";117721;154528;56402;56020;57834;9983;452488
"2015/Jan";115419;151850;55354;54859;56512;9774;443768
"2015/Fev";115038;151425;55342;54811;56413;9938;442967
"2015/Mar";115307;151700;55208;54777;56424;10018;443434
"2015/Abr";115372;151785;55231;54779;56612;10044;443823
"2015/Mai";115344;151512;54999;54502;56637;10126;443120
"2015/Jun";115502;151321;55071;54523;56572;10274;443263
"2015/Jul";115472;151402;54908;54502;56693;10280;443257
"2015/Ago";115598;151369;54891;54465;56210;10353;442886
"2015/Set";115800;151572;54955;54353;56012;10335;443027
"2015/Out";115783;151173;54842;54261;55432;10273;441764
"2015/Nov";116069;151740;54692;54222;55141;10234;442098
"2015/Dez";116205;151721;54621;54016;55107;10131;441801
"2016/Jan";116171;151816;54491;53968;54639;10191;441276
"2016/Fev";116177;151885;54440;53903;54747;10250;441402
"2016/Mar";115250;150455;54323;53606;54090;10072;437796
"2016/Abr";115453;150984;54444;53589;53859;10080;438409
"2016/Mai";115516;150739;54460;53494;53687;10079;437975
"2016/Jun";115302;150852;54266;53301;53789;10113;437623
"2016/Jul";115766;151496;54284;53390;53639;10197;438772
"2016/Ago";115561;151431;54137;53364;53347;10215;438055
"2016/Set";115538;151653;54189;53193;53223;10168;437964
"2016/Out";115804;152067;54266;53145;53244;10236;438762
"2016/Nov";116159;152350;54152;53030;53411;10370;439472
"2016/Dez";116083;151915;53958;52774;52845;10374;437949
"2017/Jan";116540;152115;54088;52614;52812;10521;438690
"2017/Fev";116856;152449;54185;52579;52786;10502;439357
"2017/Mar";116801;152768;54279;52565;52594;10482;439489
"2017/Abr";117224;152873;54368;52484;52129;10520;439598
"2017/Mai";116893;153021;54205;52233;51530;10659;438541
"2017/Jun";116752;153060;53962;52024;52195;10793;438786
"2017/Jul";116914;153334;53910;52013;51904;10743;438818
"2017/Ago";116965;153587;53979;51859;51782;10814;438986
"2017/Set";116759;153579;53905;51744;51854;10679;438520
"2017/Out";116494;153487;53749;51590;51620;10703;437643
"2017/Nov";116762;153654;53726;51347;51017;10696;437202
"2017/Dez";116621;153943;53478;51293;50783;10694;436812
"2018/Jan";116706;154288;53410;51181;51209;10771;437565
"2018/Fev";116785;154755;53463;51121;51060;11050;438234
"2018/Mar";116899;155008;53421;51011;50654;11012;438005
"2018/Abr";116821;154813;53308;50767;50116;10999;436824
"2018/Mai";117275;155216;53312;50622;50052;10878;437355
"2018/Jun";117422;155287;53249;50583;49832;10878;437251
"2018/Jul";117757;155856;53284;50410;50033;10903;438243
"2018/Ago";117786;155814;53301;50180;49482;10966;437529
"2018/Set";117806;155681;53281;50264;49338;10965;437335
"2018/Out";116325;153702;52662;49681;49041;10870;432281
"2018/Nov";116416;154003;52580;49518;48847;10722;432086
"2018/Dez";116670;154429;52610;49573;48715;10791;432788
"2019/Jan";116894;154643;52551;49481;48748;10906;433223
"2019/Fev";117018;155098;52535;49540;48523;10972;433686
"2019/Mar";117102;155286;52540;49492;48557;10994;433971
"2019/Abr";117262;155647;52603;49408;48582;11003;434505
"2019/Mai";117360;155560;52516;49258;48581;11070;434345
"2019/Jun";117266;155180;52344;49200;48436;11144;433570
"2019/Jul";117299;154510;52116;49109;48557;11212;432803
"2019/Ago";117094;154413;52086;49061;48264;11239;432157
"2019/Set";117064;154768;52186;48964;48585;11238;432805
"2019/Out";117382;154678;52099;48711;48414;11115;432399
"2019/Nov";117108;154467;52053;48619;48691;10990;431928
"2019/Dez";116653;154227;51897;48544;48398;10883;430602
"2020/Jan";115266;152777;51719;48314;47543;10487;426106
"2020/Fev";115217;152917;51718;48302;47491;10743;426388
"2020/Mar";114975;160330;51624;48286;47613;10746;433574
"2020/Abr";113176;170508;51415;48221;47779;10712;441811
"2020/Mai";111983;177024;51406;48018;47429;10643;446503
"2020/Jun";111576;180199;51222;47772;47453;10701;448923
"2020/Jul";111672;181595;51202;47638;47403;11089;450599
"2020/Ago";111578;181045;51189;47684;47424;11021;449941
"2020/Set";111684;180058;51248;47823;48037;11134;449984
"2020/Out";112277;177830;51293;47843;48114;11216;448573
"2020/Nov";111921;176972;51083;47684;48017;11283;446960
"2020/Dez";112170;177458;51166;47591;48096;11323;447804
"2021/Jan";111928;177641;51008;47488;48030;11264;447359
"2021/Fev";111306;178527;50988;47408;47927;11354;447510
"2021/Mar";110508;182215;50927;46906;47710;11454;449720
"2021/Abr";110207;182949;50796;46714;47785;11553;450004
"2021/Mai";109933;183340;50639;46487;47873;11572;449844
"2021/Jun";109891;183039;50698;46478;47439;11313;448858
"2021/Jul";110438;182563;50748;46405;47680;11448;449282
"2021/Ago";110984;182435;50755;46402;47530;11446;449552
"2021/Set";111618;181714;50752;46430;47398;11530;449442
"2021/Out";112078;179874;50752;46377;47445;11782;448308
"2021/Nov";112547;178331;50850;46308;47820;11811;447667
"2021/Dez";113053;177458;50884;46310;48168;11764;447637
"2022/Jan";113070;178613;51114;46479;48228;11910;449414
"2022/Fev";113409;178513;51066;46350;48002;12036;449376
"2022/Mar";113974;177727;51087;46460;47968;12111;449327
"2022/Abr";114688;176899;51175;46537;47615;12216;449130
"2022/Mai";115203;176088;51313;46672;47218;12195;448689
"2022/Jun";115284;175637;51302;46722;47432;12215;448592
"2022/Jul";115650;175258;51264;46689;47194;12262;448317
"2022/Ago";116229;174710;51250;46625;47101;12358;448273
"2022/Set";116406;174474;51232;46698;46936;12449;448195
"2022/Out";116644;174288;51307;46684;46848;12478;448249
"2022/Nov";116902;174055;51294;46875;47070;12357;448553
"2022/Dez";117037;174029;51314;46903;47010;12392;448685
"2023/Jan";117242;174280;51284;46915;46942;12390;449053
"2023/Fev";117273;174027;51172;46745;46615;12292;448124
"2023/Mar";117357;173849;51109;46795;46328;12461;447899
"2023/Abr";117534;173687;51031;46808;46280;12524;447864
"2023/Mai";117930;173363;51133;47060;46244;12504;448234
"2023/Jun";118576;173038;51118;47168;46533;12670;449103
"2023/Jul";118649;172829;51084;46909;46297;12884;448652
"2023/Ago";119172;173104;50948;46922;46129;13119;449394
"2023/Set";119374;172307;50921;46900;45662;13166;448330
"2023/Out";119641;172146;50857;47041;46170;13291;449146
"2023/Nov";119976;172273;50979;47100;46142;13417;449887
"2023/Dez";120105;172544;50885;46998;46191;13444;450167
"2024/Jan";120512;172190;50678;46824;46291;13423;449918
"2024/Fev";120569;172738;50518;46702;46143;13509;450179
"2024/Mar";120675;172876;50456;46513;45865;13591;449976
"2024/Abr";121296;173127;50509;46711;45769;13734;451146
"2024/Mai";121393;173452;50404;46871;45902;13939;451961
"2024/Jun";121481;173671;50391;46935;46014;14053;452545
"2024/Jul";121831;174314;50580;47021;45998;14152;453896
"2024/Ago";122294;174566;50581;47012;45777;13996;454226
"2024/Set";122567;174747;50525;46983;45597;13944;454363
"2024/Out";122450;174607;50433;46854;45857;14139;454340
"2024/Nov";122439;175301;50328;46976;45796;14175;455015
"2024/Dez";122442;175187;50278;46975;45768;14370;455020
"2025/Jan";122631;175177;50108;46965;45881;14332;455094
"2025/Fev";122572;175211;50040;46863;45947;14355;454988
"2025/Mar";122970;175743;50028;46732;46329;14426;456228
"2025/Abr";123026;175992;49955;46813;46149;14421;456356
 A partir da competência de Janeiro 2010 os dados referentes
 a leitos Complementares foram retirados da consulta referente
 a leitos de Internação, passando a constituir uma consulta específica conforme descrito na Nota Técnica.
 Fonte: Ministério da Saúde - Cadastro Nacional dos Estabelecimentos de Saúde do Brasil - CNES
 Nota:
 - Os dados relativos ao Cadastro Nacional de Estabelecimentos de Saúde (CNES) exibidos no TABNET referem-se aos registros constantes no Banco de Dados Nacional do CNES com status ATIVO.
 - A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
 
 Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
 De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
 A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
 
